ID,NAME,DISTRICT,TYPE,X_COORD,Y_COORD,RASTERVALU,CLIMATE_ZONE,FROST_RISK,RAINFALL_POTENTIAL,CURRENT_TEMP_C,CURRENT_RAIN_MM,CURRENT_CONDITION,AGRICULTURAL_ADVISORY
1,'Makong,Butha Buthe,Village,28.24419,-28.70883,1654,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
6,Ha Mothetsa,Butha Buthe,Village,28.25229,-28.73063,1690,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
7,Ha Majara,Butha Buthe,Village,28.25818,-28.73672,1674,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
8,Maratlaneng,Butha Buthe,Village,28.26731,-28.71352,1617,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
9,Morifi,Butha Buthe,Village,28.27111,-28.72854,1686,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
10,Likhahleng,Butha Buthe,Village,28.30952,-28.70325,1648,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
11,Ha Makuini,Butha Buthe,Village,28.32663,-28.72341,1630,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
12,Ha  Tebetebe,Butha Buthe,Village,28.29602,-28.73729,1668,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
13,Ha Talimo,Butha Buthe,Village,28.32454,-28.74432,1730,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
14,Moaloseng,Butha Buthe,Village,28.35382,-28.73424,1743,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
15,Ha Nqabeni,Butha Buthe,Village,28.26845,-28.7506,1712,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
16,Ha Rasekila,Butha Buthe,Village,28.36865,-28.7236,1697,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
17,Ha Tabolane,Butha Buthe,Village,28.37113,-28.73672,1777,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
18,Ha Marakabei,Butha Buthe,Village,28.35553,-28.71181,1659,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
19,Qalo,Butha Buthe,Town,28.3405,-28.70544,1675,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
20,Liphakoeng,Butha Buthe,Village,28.37873,-28.69584,1775,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
21,Boiketlo,Butha Buthe,Village,28.39546,-28.7466,1747,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
22,Setlakalleng,Butha Buthe,Village,28.42988,-28.74851,1796,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
23,Ha Lebesa,Butha Buthe,Village,28.40136,-28.70458,1750,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
24,Ha Seboche,Butha Buthe,Village,28.41524,-28.69983,1729,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
25,Ha Tumane,Butha Buthe,Village,28.43748,-28.6907,1718,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
26,Ha Chaba,Butha Buthe,Village,28.43786,-28.712,1835,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
27,Makeneng,Butha Buthe,Village,28.45612,-28.70496,1879,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
28,Ha Paramente,Butha Buthe,Village,28.3985,-28.68044,1783,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
29,Thabong,Butha Buthe,Village,28.40136,-28.66713,1781,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
30,Qholaqhoe,Butha Buthe,Village,28.41885,-28.66484,1867,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
31,Sheeshe,Butha Buthe,Village,28.40288,-28.65192,1698,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
32,Phoku(Ha Masilo),Butha Buthe,Village,28.41448,-28.631,1697,Valley,Low,Moderate,,,Connection Error,Advisory unavailable: Weather data stream offline.
33,Ha Poosho,Butha Buthe,Village,28.45212,-28.64906,1850,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
34,Ha Potjo,Butha Buthe,Village,28.46106,-28.64393,1906,Foothill,Moderate,Good,,,Connection Error,Advisory unavailable: Weather data stream offline.
